experiment,params,mean_train_accuracy,std_train_accuracy,mean_validation_accuracy,std_validation_accuracy,generalization_gap,rank_validation_accuracy,mean_fit_time_seconds
svm_rbf_all_features,"{'model__C': 3, 'model__gamma': 'scale'}",0.9860568918132759,0.003388125565590853,0.7275175360799806,0.012973903035177013,0.25853935573329534,1,0.038437843322753906
svm_rbf_all_features,"{'model__C': 3, 'model__gamma': 0.01}",0.9540552468454733,0.00347860920447233,0.7262597758606788,0.015300586987203855,0.22779547098479447,2,0.029480123519897462
svm_rbf_all_features,"{'model__C': 10, 'model__gamma': 'scale'}",0.9990496298822444,0.0007759744919807367,0.7198984116745949,0.00469442141087256,0.27915121820764954,3,0.04213285446166992
svm_rbf_all_features,"{'model__C': 10, 'model__gamma': 0.01}",0.9955636020782764,0.0011870187830544407,0.7186164637587681,0.017495451335479705,0.27694713831950835,4,0.043911981582641604
svm_rbf_all_features,"{'model__C': 30, 'model__gamma': 'scale'}",0.9990496298822444,0.0007759744919807367,0.7173667661049746,0.008456666576043544,0.2816828637772698,5,0.04302535057067871
svm_rbf_all_features,"{'model__C': 100, 'model__gamma': 'scale'}",0.9990496298822444,0.0007759744919807367,0.7173667661049746,0.008456666576043544,0.2816828637772698,5,0.04395537376403809
svm_rbf_all_features,"{'model__C': 10, 'model__gamma': 0.003}",0.9185675740737027,0.004553041871284938,0.7135692977505442,0.012071935858495987,0.20499827632315848,7,0.030714702606201173
svm_rbf_all_features,"{'model__C': 30, 'model__gamma': 0.01}",0.9990496298822444,0.0007759744919807367,0.7110215270499073,0.016383256114232365,0.28802810283233715,8,0.0344123363494873
svm_rbf_all_features,"{'model__C': 100, 'model__gamma': 0.01}",0.9990496298822444,0.0007759744919807367,0.7110215270499073,0.016383256114232365,0.28802810283233715,8,0.03178505897521973
svm_rbf_all_features,"{'model__C': 30, 'model__gamma': 0.001}",0.8909993179401793,0.004345326598064572,0.7097234540030638,0.01430892101303434,0.18127586393711548,10,0.02497897148132324
svm_rbf_all_features,"{'model__C': 3, 'model__gamma': 0.03}",0.9984157154606914,0.001002307208743885,0.7084737563492702,0.01818950516653778,0.2899419591114212,11,0.04736170768737793
svm_rbf_all_features,"{'model__C': 10, 'model__gamma': 0.03}",0.9990496298822444,0.0007759744919807367,0.7059259856486334,0.01868410448734433,0.29312364423361104,12,0.053271007537841794
svm_rbf_all_features,"{'model__C': 30, 'model__gamma': 0.03}",0.9990496298822444,0.0007759744919807367,0.7059259856486334,0.01868410448734433,0.29312364423361104,12,0.06428751945495606
svm_rbf_all_features,"{'model__C': 100, 'model__gamma': 0.03}",0.9990496298822444,0.0007759744919807367,0.7059259856486334,0.01868410448734433,0.29312364423361104,12,0.04935641288757324
svm_rbf_all_features,"{'model__C': 30, 'model__gamma': 0.003}",0.9756018174888161,0.001271673645329492,0.7059179230831251,0.029452210801824006,0.26968389440569107,15,0.029631614685058594
svm_rbf_all_features,"{'model__C': 100, 'model__gamma': 0.003}",0.9974648438283618,0.0016164663522867234,0.7033620898169798,0.03667037561398425,0.294102754011382,16,0.029396438598632814
svm_rbf_all_features,"{'model__C': 1, 'model__gamma': 'scale'}",0.9112760536821198,0.007059676850460794,0.7021607675562364,0.003446536933129634,0.20911528612588348,17,0.04025740623474121
svm_rbf_all_features,"{'model__C': 1, 'model__gamma': 0.03}",0.964829284439006,0.002322977611422025,0.6996129968555995,0.011194360483579916,0.26521628758340643,18,0.045946788787841794
svm_rbf_all_features,"{'model__C': 100, 'model__gamma': 0.001}",0.9588075989488255,0.003335818600116266,0.6970249133274208,0.03251252509223689,0.2617826856214047,19,0.02599196434020996
svm_rbf_all_features,"{'model__C': 10, 'model__gamma': 0.001}",0.8143197456318081,0.009411213613841878,0.695815528501169,0.016522449290818288,0.11850421713063908,20,0.03258357048034668
svm_rbf_all_features,"{'model__C': 3, 'model__gamma': 0.003}",0.8168564063471685,0.00872193574020722,0.6933080706280739,0.01583965636239574,0.12354833571909463,21,0.027629947662353514
svm_rbf_all_features,"{'model__C': 1, 'model__gamma': 0.01}",0.8475912255010132,0.008179057195762139,0.6932758203660404,0.009661988241851296,0.15431540513497277,22,0.03534698486328125
svm_rbf_all_features,"{'model__C': 3, 'model__gamma': 0.001}",0.7357414391462216,0.005876550901205267,0.6400467628799483,0.01768773258186191,0.09569467626627326,23,0.03628220558166504
svm_rbf_all_features,"{'model__C': 1, 'model__gamma': 0.003}",0.7373242191418082,0.006583923745138122,0.6387890026606466,0.014812940663388514,0.09853521648116159,24,0.03278708457946777
svm_rbf_all_features,"{'model__C': 1, 'model__gamma': 0.001}",0.6200856586892416,0.011410560983735805,0.5512779166330726,0.037664764710346105,0.06880774205616902,25,0.03523373603820801
svm_rbf_select_k_best,"{'model__C': 3, 'model__gamma': 'scale', 'selector__k': 'all'}",0.9860568918132759,0.003388125565590853,0.7275175360799806,0.012973903035177013,0.25853935573329534,1,0.04121098518371582
svm_rbf_select_k_best,"{'model__C': 3, 'model__gamma': 0.01, 'selector__k': 'all'}",0.9540552468454733,0.00347860920447233,0.7262597758606788,0.015300586987203855,0.22779547098479447,2,0.034355878829956055
svm_rbf_select_k_best,"{'model__C': 10, 'model__gamma': 0.01, 'selector__k': 50}",0.9857414391462216,0.0030069336712267945,0.7262114004676288,0.023767392883336652,0.2595300386785928,3,0.026706886291503907
svm_rbf_select_k_best,"{'model__C': 3, 'model__gamma': 'scale', 'selector__k': 50}",0.9803546711067422,0.0029406625116223813,0.7236716923325002,0.01862682279226426,0.25668297877424207,4,0.03517765998840332
svm_rbf_select_k_best,"{'model__C': 30, 'model__gamma': 0.01, 'selector__k': 50}",0.9987326726714679,0.0011858116702208065,0.7211158590663549,0.02297787320419384,0.27761681360511303,5,0.026693248748779298
svm_rbf_select_k_best,"{'model__C': 10, 'model__gamma': 'scale', 'selector__k': 'all'}",0.9990496298822444,0.0007759744919807367,0.7198984116745949,0.00469442141087256,0.27915121820764954,6,0.04277334213256836
svm_rbf_select_k_best,"{'model__C': 100, 'model__gamma': 0.01, 'selector__k': 50}",0.9990496298822444,0.0007759744919807367,0.7198580988470531,0.02077533056506373,0.27919153103519134,7,0.027962875366210938
svm_rbf_select_k_best,"{'model__C': 10, 'model__gamma': 0.01, 'selector__k': 'all'}",0.9955636020782764,0.0011870187830544407,0.7186164637587681,0.017495451335479705,0.27694713831950835,8,0.03382377624511719
svm_rbf_select_k_best,"{'model__C': 3, 'model__gamma': 0.01, 'selector__k': 50}",0.9210987181287488,0.007823138426920536,0.7186003386277514,0.019502721014188422,0.20249837950099736,9,0.025794029235839844
svm_rbf_select_k_best,"{'model__C': 30, 'model__gamma': 'scale', 'selector__k': 50}",0.9990496298822444,0.0007759744919807367,0.7185842134967346,0.022079087966264465,0.2804654163855098,10,0.03189196586608887
svm_rbf_select_k_best,"{'model__C': 100, 'model__gamma': 'scale', 'selector__k': 50}",0.9990496298822444,0.0007759744919807367,0.7185842134967346,0.022079087966264465,0.2804654163855098,10,0.033415699005126955
svm_rbf_select_k_best,"{'model__C': 30, 'model__gamma': 'scale', 'selector__k': 'all'}",0.9990496298822444,0.0007759744919807367,0.7173667661049746,0.008456666576043544,0.2816828637772698,12,0.04126582145690918
svm_rbf_select_k_best,"{'model__C': 100, 'model__gamma': 'scale', 'selector__k': 'all'}",0.9990496298822444,0.0007759744919807367,0.7173667661049746,0.008456666576043544,0.2816828637772698,12,0.0418734073638916
svm_rbf_select_k_best,"{'model__C': 10, 'model__gamma': 0.003, 'selector__k': 50}",0.8859259965094586,0.011253785941556104,0.717350640973958,0.009841338009737605,0.16857535553550063,14,0.023958826065063478
svm_rbf_select_k_best,"{'model__C': 10, 'model__gamma': 'scale', 'selector__k': 50}",0.9987326726714679,0.0011858116702208065,0.7173183907119245,0.020551721451202494,0.28141428195954343,15,0.0349790096282959
svm_rbf_select_k_best,"{'model__C': 100, 'model__gamma': 0.003, 'selector__k': 50}",0.99429577323517,0.00161774516270385,0.7147867451423043,0.027040335045197688,0.2795090280928657,16,0.056090784072875974
svm_rbf_select_k_best,"{'model__C': 10, 'model__gamma': 0.003, 'selector__k': 'all'}",0.9185675740737027,0.004553041871284938,0.7135692977505442,0.012071935858495987,0.20499827632315848,17,0.0267822265625
svm_rbf_select_k_best,"{'model__C': 10, 'model__gamma': 0.03, 'selector__k': 50}",0.9990496298822444,0.0007759744919807367,0.7122309118761591,0.035173292946369304,0.2868187180060854,18,0.039209604263305664
svm_rbf_select_k_best,"{'model__C': 30, 'model__gamma': 0.03, 'selector__k': 50}",0.9990496298822444,0.0007759744919807367,0.7122309118761591,0.035173292946369304,0.2868187180060854,18,0.038478755950927736
svm_rbf_select_k_best,"{'model__C': 100, 'model__gamma': 0.03, 'selector__k': 50}",0.9990496298822444,0.0007759744919807367,0.7122309118761591,0.035173292946369304,0.2868187180060854,18,0.0385678768157959
svm_rbf_select_k_best,"{'model__C': 30, 'model__gamma': 0.01, 'selector__k': 'all'}",0.9990496298822444,0.0007759744919807367,0.7110215270499073,0.016383256114232365,0.28802810283233715,21,0.03307409286499023
svm_rbf_select_k_best,"{'model__C': 100, 'model__gamma': 0.01, 'selector__k': 'all'}",0.9990496298822444,0.0007759744919807367,0.7110215270499073,0.016383256114232365,0.28802810283233715,21,0.033068609237670896
svm_rbf_select_k_best,"{'model__C': 3, 'model__gamma': 'scale', 'selector__k': 40}",0.9698980922385605,0.0017443608367124339,0.7109570265258406,0.03829746623167854,0.2589410657127199,23,0.03667540550231933
svm_rbf_select_k_best,"{'model__C': 30, 'model__gamma': 0.003, 'selector__k': 50}",0.9559569901101327,0.002100526006573178,0.7097395791340805,0.021964852408305292,0.2462174109760522,24,0.02322988510131836
svm_rbf_select_k_best,"{'model__C': 30, 'model__gamma': 0.001, 'selector__k': 'all'}",0.8909993179401793,0.004345326598064572,0.7097234540030638,0.01430892101303434,0.18127586393711548,25,0.027025413513183594
svm_rbf_select_k_best,"{'model__C': 3, 'model__gamma': 0.03, 'selector__k': 'all'}",0.9984157154606914,0.001002307208743885,0.7084737563492702,0.01818950516653778,0.2899419591114212,26,0.05086650848388672
svm_rbf_select_k_best,"{'model__C': 3, 'model__gamma': 0.03, 'selector__k': 50}",0.9936623603281911,0.002242291570600442,0.708417318390712,0.04258923832979756,0.2852450419374791,27,0.039284467697143555
svm_rbf_select_k_best,"{'model__C': 30, 'model__gamma': 0.001, 'selector__k': 50}",0.863430058777508,0.01091211563223101,0.7059259856486334,0.012522734597070432,0.1575040731288746,28,0.02248682975769043
svm_rbf_select_k_best,"{'model__C': 10, 'model__gamma': 0.03, 'selector__k': 'all'}",0.9990496298822444,0.0007759744919807367,0.7059259856486334,0.01868410448734433,0.29312364423361104,28,0.05039033889770508
svm_rbf_select_k_best,"{'model__C': 30, 'model__gamma': 0.03, 'selector__k': 'all'}",0.9990496298822444,0.0007759744919807367,0.7059259856486334,0.01868410448734433,0.29312364423361104,28,0.06389083862304687
svm_rbf_select_k_best,"{'model__C': 100, 'model__gamma': 0.03, 'selector__k': 'all'}",0.9990496298822444,0.0007759744919807367,0.7059259856486334,0.01868410448734433,0.29312364423361104,28,0.04880027770996094
svm_rbf_select_k_best,"{'model__C': 30, 'model__gamma': 0.003, 'selector__k': 'all'}",0.9756018174888161,0.001271673645329492,0.7059179230831251,0.029452210801824006,0.26968389440569107,32,0.02851133346557617
svm_rbf_select_k_best,"{'model__C': 3, 'model__gamma': 0.03, 'selector__k': 40}",0.9828898272783807,0.0025349920207527192,0.7058776102555834,0.03581967475973031,0.2770122170227973,33,0.034700441360473636
svm_rbf_select_k_best,"{'model__C': 100, 'model__gamma': 0.003, 'selector__k': 'all'}",0.9974648438283618,0.0016164663522867234,0.7033620898169798,0.03667037561398425,0.294102754011382,34,0.029509353637695312
svm_rbf_select_k_best,"{'model__C': 30, 'model__gamma': 'scale', 'selector__k': 40}",0.9990496298822444,0.0007759744919807367,0.7033620898169798,0.0373200437747201,0.29568754006526465,34,0.03245611190795898
svm_rbf_select_k_best,"{'model__C': 100, 'model__gamma': 'scale', 'selector__k': 40}",0.9990496298822444,0.0007759744919807367,0.7033620898169798,0.0373200437747201,0.29568754006526465,34,0.040921688079833984
svm_rbf_select_k_best,"{'model__C': 10, 'model__gamma': 0.01, 'selector__k': 40}",0.9603933880318563,0.0017242990035858678,0.7033379021204548,0.038634750557990684,0.2570554859114015,37,0.025349950790405272
svm_rbf_select_k_best,"{'model__C': 1, 'model__gamma': 'scale', 'selector__k': 'all'}",0.9112760536821198,0.007059676850460794,0.7021607675562364,0.003446536933129634,0.20911528612588348,38,0.041858339309692384
svm_rbf_select_k_best,"{'model__C': 1, 'model__gamma': 'scale', 'selector__k': 50}",0.8916302232742883,0.008650145994212516,0.7008707570749012,0.01790177157216591,0.1907594661993871,39,0.034889507293701175
svm_rbf_select_k_best,"{'model__C': 1, 'model__gamma': 0.03, 'selector__k': 'all'}",0.964829284439006,0.002322977611422025,0.6996129968555995,0.011194360483579916,0.26521628758340643,40,0.09137845039367676
svm_rbf_select_k_best,"{'model__C': 1, 'model__gamma': 0.03, 'selector__k': 50}",0.9363096551585789,0.0037018293318655036,0.6995807465935661,0.02719824228136499,0.23672890856501283,41,0.08359127044677735
svm_rbf_select_k_best,"{'model__C': 10, 'model__gamma': 'scale', 'selector__k': 40}",0.9990496298822444,0.0007759744919807367,0.699556558897041,0.03653637117665587,0.2994930709852034,42,0.03433408737182617
svm_rbf_select_k_best,"{'model__C': 10, 'model__gamma': 0.03, 'selector__k': 40}",0.9990496298822444,0.0007759744919807367,0.6995484963315327,0.034600845328632134,0.29950113355071173,43,0.03542804718017578
svm_rbf_select_k_best,"{'model__C': 30, 'model__gamma': 0.03, 'selector__k': 40}",0.9990496298822444,0.0007759744919807367,0.6995484963315327,0.034600845328632134,0.29950113355071173,43,0.03315916061401367
svm_rbf_select_k_best,"{'model__C': 100, 'model__gamma': 0.03, 'selector__k': 40}",0.9990496298822444,0.0007759744919807367,0.6995484963315327,0.034600845328632134,0.29950113355071173,43,0.03520898818969727
svm_rbf_select_k_best,"{'model__C': 30, 'model__gamma': 0.01, 'selector__k': 40}",0.9961975164998297,0.0016165656199482671,0.6982826735467226,0.03504456586469392,0.2979148429531071,46,0.02634902000427246
svm_rbf_select_k_best,"{'model__C': 100, 'model__gamma': 0.001, 'selector__k': 50}",0.9306079359666193,0.003082200204971665,0.6970410384584376,0.025062331528774878,0.23356689750818171,47,0.025670528411865234
svm_rbf_select_k_best,"{'model__C': 100, 'model__gamma': 0.001, 'selector__k': 'all'}",0.9588075989488255,0.003335818600116266,0.6970249133274208,0.03251252509223689,0.2617826856214047,48,0.030556201934814453
svm_rbf_select_k_best,"{'model__C': 10, 'model__gamma': 0.001, 'selector__k': 'all'}",0.8143197456318081,0.009411213613841878,0.695815528501169,0.016522449290818288,0.11850421713063908,49,0.027038955688476564
svm_rbf_select_k_best,"{'model__C': 100, 'model__gamma': 0.01, 'selector__k': 40}",0.9990496298822444,0.0007759744919807367,0.6944852051922922,0.03987503635608603,0.30456442468995226,50,0.028694581985473634
